Number of columns/X steps: 15
Number of rows/Y steps: 12
Total number of photos: 180
Focus exposure speed: 1191
Focus AWB gains: (Fraction(893, 256), Fraction(193, 128))
Position 'a' exposure speed: 1221
Position 'a' AWB gains: (Fraction(893, 256), Fraction(193, 128))
Position 'b' exposure speed: 1342
Position 'b' AWB gains: (Fraction(221, 64), Fraction(195, 128))
Position 'c' exposure speed: 1175
Position 'c' AWB gains: (Fraction(449, 128), Fraction(3, 2))
Position 'd' exposure speed: 1160
Position 'd' AWB gains: (Fraction(903, 256), Fraction(381, 256))
Min exposure speed set: 1160
Camera ISO value set: 50
WARNING! CAMERA SETTINGS OVERRIDE, gains set to (Fraction(731, 256), Fraction(131, 64))
Location of picture 1113 is at X= 1601 and Y= 1510
Location of picture 1114 is at X= 1601 and Y= 1442
Location of picture 1115 is at X= 1601 and Y= 1374
Location of picture 1116 is at X= 1601 and Y= 1306
Location of picture 1117 is at X= 1601 and Y= 1238
Location of picture 1118 is at X= 1601 and Y= 1170
Location of picture 1119 is at X= 1601 and Y= 1102
Location of picture 1120 is at X= 1690 and Y= 1850
Location of picture 1121 is at X= 1690 and Y= 1782
Location of picture 1122 is at X= 1690 and Y= 1714
Location of picture 1123 is at X= 1690 and Y= 1646
Location of picture 1124 is at X= 1690 and Y= 1578
Location of picture 1125 is at X= 1690 and Y= 1510
Location of picture 1126 is at X= 1690 and Y= 1442
Location of picture 1127 is at X= 1690 and Y= 1374
Location of picture 1128 is at X= 1690 and Y= 1306
Location of picture 1129 is at X= 1690 and Y= 1238
Location of picture 1130 is at X= 1690 and Y= 1170
Location of picture 1131 is at X= 1690 and Y= 1102
Location of picture 1132 is at X= 1779 and Y= 1850
Location of picture 1133 is at X= 1779 and Y= 1782
Location of picture 1134 is at X= 1779 and Y= 1714
Location of picture 1135 is at X= 1779 and Y= 1646
Location of picture 1136 is at X= 1779 and Y= 1578
Location of picture 1137 is at X= 1779 and Y= 1510
Location of picture 1138 is at X= 1779 and Y= 1442
Location of picture 1139 is at X= 1779 and Y= 1374
Location of picture 1140 is at X= 1779 and Y= 1306
Location of picture 1141 is at X= 1779 and Y= 1238
Location of picture 1142 is at X= 1779 and Y= 1170
Location of picture 1143 is at X= 1779 and Y= 1102
Location of picture 1144 is at X= 1868 and Y= 1850
Location of picture 1145 is at X= 1868 and Y= 1782
Location of picture 1146 is at X= 1868 and Y= 1714
Location of picture 1147 is at X= 1868 and Y= 1646
Location of picture 1148 is at X= 1868 and Y= 1578
Location of picture 1149 is at X= 1868 and Y= 1510
Location of picture 1150 is at X= 1868 and Y= 1442
Location of picture 1151 is at X= 1868 and Y= 1374
Location of picture 1152 is at X= 1868 and Y= 1306
Location of picture 1153 is at X= 1868 and Y= 1238
Location of picture 1154 is at X= 1868 and Y= 1170
Location of picture 1155 is at X= 1868 and Y= 1102
Location of picture 1156 is at X= 1957 and Y= 1850
Location of picture 1157 is at X= 1957 and Y= 1782
Location of picture 1158 is at X= 1957 and Y= 1714
Location of picture 1159 is at X= 1957 and Y= 1646
Location of picture 1160 is at X= 1957 and Y= 1578
Location of picture 1161 is at X= 1957 and Y= 1510
Location of picture 1162 is at X= 1957 and Y= 1442
Location of picture 1163 is at X= 1957 and Y= 1374
Location of picture 1164 is at X= 1957 and Y= 1306
Location of picture 1165 is at X= 1957 and Y= 1238
Location of picture 1166 is at X= 1957 and Y= 1170
Location of picture 1167 is at X= 1957 and Y= 1102
Location of picture 1168 is at X= 2046 and Y= 1850
Location of picture 1169 is at X= 2046 and Y= 1782
Location of picture 1170 is at X= 2046 and Y= 1714
Location of picture 1171 is at X= 2046 and Y= 1646
Location of picture 1172 is at X= 2046 and Y= 1578
Location of picture 1173 is at X= 2046 and Y= 1510
Location of picture 1174 is at X= 2046 and Y= 1442
Location of picture 1175 is at X= 2046 and Y= 1374
Location of picture 1176 is at X= 2046 and Y= 1306
Location of picture 1177 is at X= 2046 and Y= 1238
Location of picture 1178 is at X= 2046 and Y= 1170
Location of picture 1179 is at X= 2046 and Y= 1102
